Timestamp,capp,category,csource,ctags,jobs_completed,jobs_submitted,maps_completed,maps_launched,reduces_completed,reduces_launched
1307525727,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,0,32
1307525737,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,0,32
1307525747,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,0,32
1307525757,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,0,32
1307525767,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,0,32
1307525777,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525787,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525798,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525807,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525817,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525827,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525837,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
1307525847,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525407951.log,mapred.jobtracker,sr212, cluster="chukwa",0,1,640,665,1,32
