Local bytes written,COUNTERS,Combine output records,Combine input records,TRACKER_NAME,csource,capp,Map output bytes,Map input records,START_TIME,FINISH_TIME,HDFS bytes read,id,ctags,TASK_STATUS,TASKID,Map input bytes,STATE_STRING,Map output records
,1,0,0,tracker_sr217:localhost\.localdomain/127\.0\.0\.1:44223,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138286677,13161,1307525438255,1307525451457,,attempt_201106081729_0001_m_000014_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000014,138636685,hdfs://sr212:9000/user/lyan/rand10/part-00025:1207959552+138651586,13161
,1,0,0,tracker_sr216:localhost\.localdomain/127\.0\.0\.1:43445,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138298949,13183,1307525438476,1307525451652,,attempt_201106081729_0001_m_000015_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000015,138649613,hdfs://sr212:9000/user/lyan/rand10/part-00009:1207959552+138651477,13183
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138293654,13089,1307525438332,1307525453649,,attempt_201106081729_0001_m_000016_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000016,138642286,hdfs://sr212:9000/user/lyan/rand10/part-00033:1207959552+138651061,13089
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138295152,13078,1307525438374,1307525445127,,attempt_201106081729_0001_m_000017_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000017,138643456,hdfs://sr212:9000/user/lyan/rand10/part-00052:1207959552+138651027,13078
,1,0,0,tracker_sr217:localhost\.localdomain/127\.0\.0\.1:44223,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138297629,13191,1307525438307,1307525456288,,attempt_201106081729_0001_m_000018_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000018,138648617,hdfs://sr212:9000/user/lyan/rand10/part-00049:1207959552+138650798,13191
,1,0,0,tracker_sr216:localhost\.localdomain/127\.0\.0\.1:43445,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138293218,13162,1307525438506,1307525458141,,attempt_201106081729_0001_m_000019_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000019,138643174,hdfs://sr212:9000/user/lyan/rand10/part-00034:1207959552+138649623,13162
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282791,13136,1307525435218,1307525443802,,attempt_201106081729_0001_m_000020_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000020,138632339,hdfs://sr212:9000/user/lyan/rand10/part-00030:1207959552+138649080,13136
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138298259,13177,1307525435253,1307525453762,,attempt_201106081729_0001_m_000021_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000021,138648815,hdfs://sr212:9000/user/lyan/rand10/part-00063:1207959552+138649036,13177
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138296962,13217,1307525435294,1307525469902,,attempt_201106081729_0001_m_000022_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000022,138648478,hdfs://sr212:9000/user/lyan/rand10/part-00053:1207959552+138648891,13217
,1,0,0,tracker_sr214:localhost\.localdomain/127\.0\.0\.1:36955,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282309,13094,1307525435351,1307525443472,,attempt_201106081729_0001_m_000023_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000023,138631561,hdfs://sr212:9000/user/lyan/rand10/part-00051:1207959552+138648439,13094
,1,0,0,tracker_sr217:localhost\.localdomain/127\.0\.0\.1:44223,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138279858,13134,1307525438363,1307525457526,,attempt_201106081729_0001_m_000024_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000024,138629610,hdfs://sr212:9000/user/lyan/rand10/part-00038:1207959552+138648319,13134
