Timestamp,%util,avgrq-sz,await,capp,csource,ctags,device,r/s,rkB/s,rrqm/s,svctm,w/s,wkB/s,wrqm/s
1307525458,0.00,34.67,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,0.60,10.40,2.00
1307525463,0.08,96.00,4.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,1.33,0.60,28.74,6.59
1307525463,0.08,48.00,4.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,4.00,0.20,4.79,1.00
1307525463,0.00,54.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,2.40,64.67,13.57
1307525463,0.00,107.56,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,1.80,96.61,22.36
1307525468,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525468,0.00,15.38,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,2.60,20.00,2.40
1307525468,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525468,0.00,56.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,2.20,61.60,13.20
1307525473,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525473,0.00,32.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,0.80,12.80,2.40
1307525473,0.08,16.00,2.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,1.00,0.80,6.40,0.80
1307525473,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525478,0.00,11.20,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,1.00,5.60,0.40
1307525478,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525478,0.00,56.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,0.40,11.20,2.40
1307525478,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525483,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
