Timestamp,capp,category,csource,ctags,hostName,mapTaskSlots,maps_running,reduceTaskSlots,reduces_running,tasks_completed
1307525719,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525729,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525739,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525749,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525759,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525769,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525779,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525789,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525799,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525809,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525819,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525829,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525839,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525849,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525859,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525869,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525879,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
1307525889,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359762.log,mapred.tasktracker,sr214, cluster="chukwa",sr214,16,0,10,4,85
