Timestamp,capp,category,csource,ctags,gcCount,gcTimeMillis,hostName,memHeapCommittedM,memHeapUsedM,memNonHeapCommittedM,memNonHeapUsedM,processName,threadsBlocked,threadsNew,threadsRunnable,threadsTerminated,threadsTimedWaiting,threadsWaiting
1307526006,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",5,29,sr212,17.6875,11.914894,23.1875,15.634216,SecondaryNameNode,0,0,5,0,5,2
1307526007,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",13,251,sr212,56.625,41.6213,40.9375,18.840569,JobTracker,0,0,8,0,9,16
1307526012,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",14,115,sr212,28.25,11.324684,33.6875,17.691963,NameNode,0,0,6,0,10,43
1307526016,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",5,29,sr212,17.6875,11.914894,23.1875,15.634216,SecondaryNameNode,0,0,5,0,4,2
1307526017,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",13,251,sr212,56.625,43.664062,40.9375,18.87632,JobTracker,0,0,8,0,9,16
1307526022,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",14,115,sr212,28.25,13.036613,33.6875,17.6968,NameNode,0,0,6,0,10,43
1307526026,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",5,29,sr212,17.6875,12.053123,23.1875,15.634216,SecondaryNameNode,0,0,5,0,4,2
1307526027,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",13,251,sr212,56.625,45.05024,40.9375,18.881554,JobTracker,0,0,7,0,10,16
1307526032,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",14,115,sr212,28.25,15.362579,33.6875,17.70227,NameNode,0,0,6,0,10,43
1307526036,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525356811.log,jvm.metrics,sr212, cluster="chukwa",5,29,sr212,17.6875,12.053177,23.1875,15.634216,SecondaryNameNode,0,0,5,0,4,2
1307526037,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525407950.log,jvm.metrics,sr212, cluster="chukwa",13,251,sr212,56.625,46.80584,40.9375,18.88749,JobTracker,0,0,7,0,11,16
1307526042,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525352379.log,jvm.metrics,sr212, cluster="chukwa",14,115,sr212,28.25,18.059502,33.6875,17.709427,NameNode,0,0,6,0,10,43
